Year,Anomaly,,,Global Land and Ocean Temperature Anomalies
198001,0.35,,,Units: Degrees Celsius
198002,0.43,,,Base Period: 1901-2000
198003,0.32,,,Missing: -999
198004,0.33,,,
198005,0.38,,,
198006,0.28,,,
198007,0.27,,,
198008,0.22,,,
198009,0.21,,,
198010,0.2,,,
198011,0.27,,,
198012,0.23,,,
198101,0.55,,,
198102,0.43,,,
198103,0.45,,,
198104,0.38,,,
198105,0.31,,,
198106,0.34,,,
198107,0.27,,,
198108,0.26,,,
198109,0.23,,,
198110,0.25,,,
198111,0.31,,,
198112,0.45,,,
198201,0.11,,,
198202,0.21,,,
198203,0.12,,,
198204,0.21,,,
198205,0.18,,,
198206,0.16,,,
198207,0.19,,,
198208,0.15,,,
198209,0.23,,,
198210,0.18,,,
198211,0.13,,,
198212,0.41,,,
198301,0.51,,,
198302,0.46,,,
198303,0.44,,,
198304,0.25,,,
198305,0.29,,,
198306,0.31,,,
198307,0.31,,,
198308,0.36,,,
198309,0.35,,,
198310,0.23,,,
198311,0.38,,,
198312,0.27,,,
198401,0.31,,,
198402,0.22,,,
198403,0.28,,,
198404,0.13,,,
198405,0.32,,,
198406,0.17,,,
198407,0.16,,,
198408,0.19,,,
198409,0.2,,,
198410,0.2,,,
198411,0.11,,,
198412,0.06,,,
198501,0.29,,,
198502,0.08,,,
198503,0.25,,,
198504,0.12,,,
198505,0.22,,,
198506,0.16,,,
198507,0.1,,,
198508,0.15,,,
198509,0.16,,,
198510,0.16,,,
198511,0.14,,,
198512,0.17,,,
198601,0.23,,,
198602,0.39,,,
198603,0.33,,,
198604,0.27,,,
198605,0.35,,,
198606,0.22,,,
198607,0.13,,,
198608,0.15,,,
198609,0.04,,,
198610,0.18,,,
198611,0.13,,,
198612,0.17,,,
198701,0.3,,,
198702,0.36,,,
198703,0.15,,,
198704,0.21,,,
198705,0.33,,,
198706,0.4,,,
198707,0.46,,,
198708,0.34,,,
198709,0.4,,,
198710,0.34,,,
198711,0.26,,,
198712,0.48,,,
198801,0.54,,,
198802,0.46,,,
198803,0.46,,,
198804,0.46,,,
198805,0.48,,,
198806,0.41,,,
198807,0.39,,,
198808,0.5,,,
198809,0.41,,,
198810,0.4,,,
198811,0.16,,,
198812,0.32,,,
198901,0.12,,,
198902,0.33,,,
198903,0.36,,,
198904,0.4,,,
198905,0.24,,,
198906,0.1,,,
198907,0.33,,,
198908,0.32,,,
198909,0.4,,,
198910,0.35,,,
198911,0.19,,,
198912,0.4,,,
199001,0.4,,,
199002,0.38,,,
199003,0.78,,,
199004,0.61,,,
199005,0.5,,,
199006,0.42,,,
199007,0.36,,,
199008,0.38,,,
199009,0.3,,,
199010,0.41,,,
199011,0.42,,,
199012,0.41,,,
199101,0.42,,,
199102,0.52,,,
199103,0.38,,,
199104,0.59,,,
199105,0.43,,,
199106,0.56,,,
199107,0.41,,,
199108,0.37,,,
199109,0.39,,,
199110,0.33,,,
199111,0.31,,,
199112,0.32,,,
199201,0.44,,,
199202,0.42,,,
199203,0.46,,,
199204,0.23,,,
199205,0.37,,,
199206,0.29,,,
199207,0.13,,,
199208,0.11,,,
199209,0.06,,,
199210,0.02,,,
199211,0.05,,,
199212,0.22,,,
199301,0.34,,,
199302,0.39,,,
199303,0.38,,,
199304,0.36,,,
199305,0.31,,,
199306,0.32,,,
199307,0.31,,,
199308,0.11,,,
199309,0.21,,,
199310,0.22,,,
199311,0.1,,,
199312,0.18,,,
199401,0.22,,,
199402,0.06,,,
199403,0.3,,,
199404,0.41,,,
199405,0.32,,,
199406,0.43,,,
199407,0.32,,,
199408,0.26,,,
199409,0.27,,,
199410,0.45,,,
199411,0.42,,,
199412,0.4,,,
199501,0.55,,,
199502,0.77,,,
199503,0.49,,,
199504,0.51,,,
199505,0.33,,,
199506,0.5,,,
199507,0.45,,,
199508,0.5,,,
199509,0.44,,,
199510,0.44,,,
199511,0.48,,,
199512,0.32,,,
199601,0.28,,,
199602,0.49,,,
199603,0.37,,,
199604,0.37,,,
199605,0.34,,,
199606,0.38,,,
199607,0.35,,,
199608,0.44,,,
199609,0.28,,,
199610,0.17,,,
199611,0.44,,,
